Variable / Field Name,Form Name,,,
record_id,ua_econsent,,,
department_contact,contact_form,,,
department_alt_contact,contact_form,,,
todays_date,ffccs_survey,Section A: SURVEY INFORMATION,,
survey_start_time,ffccs_survey,,,
ff_type,ffccs_survey,,,
gender,ffccs_survey,"<div class=""rich-text-field-label""><p>Section B: DEMOGRAPHICS</p></div>",,
ethnicity,ffccs_survey,,,
race,ffccs_survey,,,
other_race,ffccs_survey,,,
hispanic_origin,ffccs_survey,,,
hispanic_oth,ffccs_survey,,,
marital_status,ffccs_survey,,,
education,ffccs_survey,,,
weight,ffccs_survey,,,
height_table,ffccs_survey,,,
height_feet,ffccs_survey,,,
height_inches,ffccs_survey,,,
bmi,ffccs_survey,,,
bmi_2,ffccs_survey,,,
lgbtq,ffccs_survey,,,
income_2,ffccs_survey,,,
last_fire_2,ffccs_survey,,,
type_fire,ffccs_survey,,,
type_fire_other,ffccs_survey,,,
role_fire,ffccs_survey,,,
role_fire_other,ffccs_survey,,,
hints_cancer_risk,ffccs_survey,"Section F: CANCER HISTORY

Personal Cancer History",,
self_cancer,ffccs_survey,,,
ca_metastatic_bl,ffccs_survey,,,
cancer_type_self_bl,ffccs_survey,,,
cancer_type_self,ffccs_survey,,,
cancer_self_oth_bl,ffccs_survey,,,
ca_age_bl,ffccs_survey,,,
ca_stage_bl,ffccs_survey,,,
ca_rem_bl,ffccs_survey,,,
ca_tx_bl,ffccs_survey,,,
ca_dx_tx_bl,ffccs_survey,,,
ca_tx_length_bl,ffccs_survey,,,
ca_tx_length_day_bl,ffccs_survey,,,
ca_tx_length_week_bl,ffccs_survey,,,
ca_tx_length_month_bl,ffccs_survey,,,
ca_tx_length_year_bl,ffccs_survey,,,
ca_dx_tx_month_bl,ffccs_survey,,,
ca_dx_tx_year_bl,ffccs_survey,,,
ca_dx_tx_day_bl,ffccs_survey,,,
ca_dx_tx_week_bl,ffccs_survey,,,
ca_tx_type_bl,ffccs_survey,,,
ca_last_tx_date_bl,ffccs_survey,,,
cancer_self_2_bl,ffccs_survey,,,
cancer_type_self_2_bl,ffccs_survey,,,
cancer_self_oth_2_bl,ffccs_survey,,,
ca_age_2_bl,ffccs_survey,,,
